station,target_date
csengele,2023-07-03 02:00:00
csengele,2023-07-04 02:00:00
csengele,2023-07-05 02:00:00
csengele,2023-07-06 02:00:00
csengele,2023-07-07 02:00:00
csengele,2023-07-08 02:00:00
csengele,2023-07-09 02:00:00
csengele,2023-07-10 02:00:00
csengele,2023-07-11 02:00:00
csengele,2023-07-12 02:00:00
csengele,2023-08-01 02:00:00
csengele,2023-08-02 02:00:00
csengele,2023-08-03 02:00:00
csengele,2023-08-04 02:00:00
csengele,2023-08-05 02:00:00
csengele,2023-08-06 02:00:00
csengele,2023-08-07 02:00:00
csengele,2023-08-08 02:00:00
csengele,2023-08-09 02:00:00
csengele,2023-08-10 02:00:00
csengele,2023-08-11 02:00:00
csengele,2023-08-12 02:00:00
csengele,2023-09-01 02:00:00
csengele,2023-09-02 02:00:00
csengele,2023-09-03 02:00:00
csengele,2023-09-04 02:00:00
csengele,2023-09-05 02:00:00
csengele,2023-09-06 02:00:00
csengele,2023-09-07 02:00:00
csengele,2023-09-08 02:00:00
csengele,2023-09-09 02:00:00
csengele,2023-09-10 02:00:00
csengele,2023-09-11 02:00:00
csengele,2023-09-12 02:00:00
csengele,2023-10-01 02:00:00
csengele,2023-10-02 02:00:00
csengele,2023-10-03 02:00:00
csengele,2023-10-04 02:00:00
csengele,2023-10-05 02:00:00
csengele,2023-10-06 02:00:00
csengele,2023-10-07 02:00:00
csengele,2023-10-08 02:00:00
csengele,2023-10-09 02:00:00
csengele,2023-10-10 02:00:00
csengele,2023-10-11 02:00:00
csengele,2023-10-12 02:00:00
csengele,2023-11-01 01:00:00
csengele,2023-11-02 01:00:00
csengele,2023-11-03 01:00:00
csengele,2023-11-04 01:00:00
csengele,2023-11-05 01:00:00
csengele,2023-11-06 01:00:00
csengele,2023-11-07 01:00:00
csengele,2023-11-08 01:00:00
csengele,2023-11-09 01:00:00
csengele,2023-11-10 01:00:00
csengele,2023-11-11 01:00:00
csengele,2023-11-12 01:00:00
csengele,2023-12-01 01:00:00
csengele,2023-12-02 01:00:00
csengele,2023-12-03 01:00:00
csengele,2023-12-04 01:00:00
csengele,2023-12-05 01:00:00
csengele,2023-12-06 01:00:00
csengele,2023-12-07 01:00:00
csengele,2023-12-08 01:00:00
csengele,2023-12-09 01:00:00
csengele,2023-12-10 01:00:00
csengele,2023-12-11 01:00:00
csengele,2023-12-12 01:00:00
csengele,2024-01-01 01:00:00
csengele,2024-01-02 01:00:00
csengele,2024-01-03 01:00:00
csengele,2024-01-04 01:00:00
csengele,2024-01-05 01:00:00
csengele,2024-01-06 01:00:00
csengele,2024-01-07 01:00:00
csengele,2024-01-08 01:00:00
csengele,2024-01-09 01:00:00
csengele,2024-01-10 01:00:00
csengele,2024-01-11 01:00:00
csengele,2024-01-12 01:00:00
csengele,2024-02-01 01:00:00
csengele,2024-02-02 01:00:00
csengele,2024-02-03 01:00:00
csengele,2024-02-04 01:00:00
csengele,2024-02-05 01:00:00
csengele,2024-02-06 01:00:00
csengele,2024-02-07 01:00:00
csengele,2024-02-08 01:00:00
csengele,2024-02-09 01:00:00
csengele,2024-02-10 01:00:00
csengele,2024-02-11 01:00:00
csengele,2024-02-12 01:00:00
csengele,2024-03-01 01:00:00
csengele,2024-03-02 01:00:00
csengele,2024-03-03 01:00:00
csengele,2024-03-04 01:00:00
csengele,2024-03-05 01:00:00
csengele,2024-03-06 01:00:00
csengele,2024-03-07 01:00:00
csengele,2024-03-08 01:00:00
csengele,2024-03-09 01:00:00
csengele,2024-03-10 01:00:00
csengele,2024-03-11 01:00:00
csengele,2024-03-12 01:00:00
csengele,2024-04-01 02:00:00
csengele,2024-04-02 02:00:00
csengele,2024-04-03 02:00:00
csengele,2024-04-04 02:00:00
csengele,2024-04-05 02:00:00
csengele,2024-04-06 02:00:00
csengele,2024-04-07 02:00:00
csengele,2024-04-08 02:00:00
csengele,2024-04-09 02:00:00
csengele,2024-04-10 02:00:00
csengele,2024-04-11 02:00:00
csengele,2024-04-12 02:00:00
csengele,2024-05-01 02:00:00
csengele,2024-05-02 02:00:00
csengele,2024-05-03 02:00:00
csengele,2024-05-04 02:00:00
csengele,2024-05-05 02:00:00
csengele,2024-05-06 02:00:00
csengele,2024-05-07 02:00:00
csengele,2024-05-08 02:00:00
csengele,2024-05-09 02:00:00
csengele,2024-05-10 02:00:00
csengele,2024-05-11 02:00:00
csengele,2024-05-12 02:00:00
csengele,2024-06-01 02:00:00
csengele,2024-06-02 02:00:00
csengele,2024-06-03 02:00:00
csengele,2024-06-04 02:00:00
csengele,2024-06-05 02:00:00
csengele,2024-06-06 02:00:00
csengele,2024-06-07 02:00:00
csengele,2024-06-08 02:00:00
csengele,2024-06-09 02:00:00
csengele,2024-06-10 02:00:00
csengele,2024-06-11 02:00:00
csengele,2024-06-12 02:00:00
csengele,2024-07-01 02:00:00
csengele,2024-07-02 02:00:00
csengele,2024-07-03 02:00:00
csengele,2024-07-04 02:00:00
csengele,2024-07-05 02:00:00
csengele,2024-07-06 02:00:00
csengele,2024-07-07 02:00:00
csengele,2024-07-08 02:00:00
csengele,2024-07-09 02:00:00
csengele,2024-07-10 02:00:00
csengele,2024-07-11 02:00:00
csengele,2024-07-12 02:00:00
csengele,2024-08-01 02:00:00
csengele,2024-08-02 02:00:00
csengele,2024-08-03 02:00:00
csengele,2024-08-04 02:00:00
csengele,2024-08-05 02:00:00
csengele,2024-08-06 02:00:00
csengele,2024-08-07 02:00:00
csengele,2024-08-08 02:00:00
csengele,2024-08-09 02:00:00
csengele,2024-08-10 02:00:00
csengele,2024-08-11 02:00:00
csengele,2024-08-12 02:00:00
csengele,2024-09-01 02:00:00
csengele,2024-09-02 02:00:00
csengele,2024-09-03 02:00:00
csengele,2024-09-04 02:00:00
csengele,2024-09-05 02:00:00
csengele,2024-09-06 02:00:00
csengele,2024-09-07 02:00:00
csengele,2024-09-08 02:00:00
csengele,2024-09-09 02:00:00
csengele,2024-09-10 02:00:00
csengele,2024-09-11 02:00:00
csengele,2024-09-12 02:00:00
csengele,2024-10-01 02:00:00
csengele,2024-10-02 02:00:00
csengele,2024-10-03 02:00:00
csengele,2024-10-04 02:00:00
csengele,2024-10-05 02:00:00
csengele,2024-10-06 02:00:00
